bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
M Markande,22,37,1,37,0.1621621621621621,0.027027027027027,1.0,0.0,1.0,0.0,0.02702702702702703,0.16666666666666657
M Morkel,47,80,9,80,0.675,0.1125,1.0,33.0,33.0,0.4125,0.4125,0.16666666666666666
M Muralitharan,40,63,0,63,0.0,0.0,1.0,3.0,13.0,0.047619047619047616,0.20634920634920634,
M Ntini,4,8,1,8,0.75,0.125,1.0,5.0,3.0,0.625,0.375,0.16666666666666666
M Pathirana,19,38,1,38,0.1578947368421052,0.0263157894736842,1.0,0.0,26.0,0.0,0.6842105263157895,0.16666666666666666
M Prasidh Krishna,34,54,2,54,0.2222222222222222,0.037037037037037,1.0,16.0,23.0,0.2962962962962963,0.42592592592592593,0.1666666666666665
M Siddharth,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
M Theekshana,15,25,0,25,0.0,0.0,1.0,9.0,8.0,0.36,0.32,
M de Lange,2,3,0,3,0.0,0.0,1.0,0.0,2.0,0.0,0.6666666666666666,
MA Khote,1,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,
MA Starc,30,59,2,59,0.2033898305084746,0.0338983050847457,1.0,20.0,30.0,0.3389830508474576,0.5084745762711864,0.16666666666666635
MA Wood,4,11,0,11,0.0,0.0,1.0,2.0,6.0,0.18181818181818182,0.5454545454545454,
MC Henriques,30,44,2,44,0.2727272727272727,0.0454545454545454,1.0,8.0,3.0,0.18181818181818182,0.06818181818181818,0.1666666666666665
MF Maharoof,15,33,2,33,0.3636363636363636,0.0606060606060606,1.0,11.0,10.0,0.3333333333333333,0.30303030303030304,0.16666666666666669
MG Bracewell,4,6,0,6,0.0,0.0,1.0,3.0,0.0,0.5,0.0,
