batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
Anureet Singh,7,36,43,2,1,4,83.72093023255815,9.0,0.0,29.0
Arjun Tendulkar,1,13,9,0,1,1,144.44444444444443,13.0,0.0,13.0
Arshad Khan,6,96,63,5,6,4,152.38095238095238,24.0,0.0,62.0
Arshad Khan (2),1,5,4,1,0,1,125.0,5.0,0.0,5.0
Arshdeep Singh,11,29,39,4,0,5,74.35897435897436,5.8,0.0,25.0
Ashutosh Sharma,9,183,105,10,14,8,174.28571428571428,22.875,0.0,112.0
Atharva Taide,9,247,164,27,8,8,150.609756097561,30.875,144.0,0.0
Avesh Khan,8,41,24,3,3,1,170.83333333333331,41.0,0.0,29.0
Azhar Mahmood,20,388,291,39,13,18,133.33333333333331,21.555555555555557,22.0,96.0
Azmatullah Omarzai,4,42,33,2,2,4,127.27272727272727,10.5,0.0,0.0
B Akhil,10,63,44,5,4,6,143.1818181818182,10.5,0.0,49.0
B Chipli,17,237,203,24,6,14,116.7487684729064,16.928571428571427,37.0,61.0
B Indrajith,3,21,30,2,0,3,70.0,7.0,19.0,0.0
B Kumar,45,213,205,23,2,24,103.90243902439025,8.875,0.0,177.0
B Laughlin,4,5,13,0,0,2,38.46153846153847,2.5,0.0,1.0
B Lee,17,122,89,8,8,8,137.07865168539325,15.25,0.0,102.0
B Sai Sudharsan,25,1018,727,94,31,21,140.02751031636865,48.476190476190474,267.0,112.0
B Stanlake,1,5,2,1,0,0,250.0,inf,0.0,5.0
B Sumanth,4,35,37,3,0,1,94.5945945945946,35.0,0.0,23.0
BA Bhatt,2,6,7,0,1,0,85.71428571428571,inf,0.0,6.0
BA Stokes,43,934,686,81,32,41,136.15160349854227,22.78048780487805,240.0,127.0
BAW Mendis,2,1,2,0,0,1,50.0,1.0,0.0,1.0
BB McCullum,94,2423,1775,245,112,91,136.50704225352112,26.626373626373628,1288.0,141.0
BB Samantray,6,86,71,10,1,4,121.12676056338027,21.5,8.0,29.0
BB Sran,5,9,12,0,0,1,75.0,9.0,0.0,8.0
BCJ Cutting,17,238,137,15,19,11,173.72262773722628,21.636363636363637,0.0,208.0
BE Hendricks,2,1,3,0,0,1,33.33333333333333,1.0,0.0,1.0
BJ Haddin,1,18,11,2,1,1,163.63636363636365,18.0,18.0,0.0
BJ Hodge,46,1074,832,93,34,33,129.08653846153845,32.54545454545455,108.0,389.0
BJ Rohrer,6,173,115,19,5,5,150.43478260869566,34.6,0.0,73.0
BMAJ Mendis,3,23,27,0,0,3,85.18518518518519,7.666666666666667,1.0,0.0
BR Dunk,3,40,33,7,0,3,121.21212121212122,13.333333333333334,40.0,0.0
BR Sharath,1,2,5,0,0,1,40.0,2.0,0.0,0.0
Basil Thampi,7,32,33,1,1,2,96.96969696969697,16.0,0.0,29.0
Bipul Sharma,16,152,103,8,7,6,147.5728155339806,25.333333333333332,0.0,118.0
C Green,28,699,452,62,31,20,154.64601769911502,34.95,190.0,151.0
